Price,Close,High,Low,Open,Volume
Ticker,TL0.F,TL0.F,TL0.F,TL0.F,TL0.F
Date,,,,,
2023-05-02,145.27999877929688,150.63999938964844,144.97999572753906,148.05999755859375,13137
2023-05-03,145.55999755859375,149.05999755859375,144.83999633789062,145.77999877929688,2233
2023-05-04,146.47999572753906,148.0399932861328,145.10000610351562,146.9600067138672,2557
2023-05-05,154.05999755859375,155.0,145.83999633789062,148.27999877929688,3321
2023-05-08,155.4600067138672,157.75999450683594,153.27999877929688,153.89999389648438,4645
2023-05-09,153.10000610351562,155.89999389648438,152.66000366210938,155.8800048828125,1575
2023-05-10,153.66000366210938,158.4600067138672,152.5,154.39999389648438,3587
2023-05-11,155.10000610351562,155.52000427246094,152.97999572753906,153.9600067138672,3235
2023-05-12,155.5,162.74000549316406,154.33999633789062,160.0,6023
2023-05-15,152.4199981689453,155.97999572753906,151.6999969482422,153.5,2975
2023-05-16,154.0800018310547,155.17999267578125,151.39999389648438,152.5399932861328,1296
2023-05-17,160.6199951171875,160.6199951171875,154.8000030517578,154.82000732421875,5255
2023-05-18,162.39999389648438,162.8000030517578,160.22000122070312,160.63999938964844,1368
2023-05-19,166.8000030517578,168.32000732421875,163.24000549316406,164.97999572753906,3313
2023-05-22,174.63999938964844,174.97999572753906,165.3000030517578,166.10000610351562,6856
2023-05-23,172.63999938964844,178.67999267578125,172.0,174.97999572753906,10901
2023-05-24,170.0,171.9600067138672,165.94000244140625,171.9600067138672,6153
2023-05-25,171.77999877929688,174.5,169.0399932861328,172.1999969482422,3443
2023-05-26,179.60000610351562,185.0,170.22000122070312,171.3000030517578,14139
2023-05-29,181.66000366210938,182.8800048828125,180.5,181.5,4005
2023-05-30,186.8000030517578,190.39999389648438,181.52000427246094,181.52000427246094,10364
2023-05-31,190.0,190.0,183.39999389648438,187.9600067138672,6305
2023-06-01,193.39999389648438,194.67999267578125,187.0,190.0399932861328,7771
2023-06-02,199.67999267578125,202.39999389648438,192.72000122070312,193.9600067138672,12768
2023-06-05,202.89999389648438,206.5,198.24000549316406,200.75,11316
2023-06-06,207.0,207.0,199.4600067138672,200.0,14363
2023-06-07,210.5500030517578,214.35000610351562,208.60000610351562,210.0,19768
2023-06-08,214.64999389648438,216.25,207.1999969482422,207.39999389648438,6998
2023-06-09,227.9499969482422,233.89999389648438,225.0,227.5,23420
2023-06-12,232.1999969482422,232.4499969482422,227.10000610351562,227.10000610351562,18339
2023-06-13,239.85000610351562,240.8000030517578,231.64999389648438,231.6999969482422,6808
2023-06-14,235.14999389648438,244.75,231.89999389648438,242.85000610351562,16942
2023-06-15,233.9499969482422,236.0,227.3000030517578,235.89999389648438,17246
2023-06-16,237.85000610351562,240.60000610351562,230.10000610351562,232.4499969482422,6960
2023-06-19,236.60000610351562,239.9499969482422,236.10000610351562,237.8000030517578,4170
2023-06-20,251.0500030517578,251.75,234.3000030517578,236.39999389648438,10749
2023-06-21,236.3000030517578,255.9499969482422,235.0,251.0,20392
2023-06-22,241.3000030517578,241.3000030517578,226.14999389648438,232.10000610351562,13944
2023-06-23,235.4499969482422,242.39999389648438,233.0,242.39999389648438,5477
2023-06-26,221.10000610351562,236.5,221.0,230.0,9323
2023-06-27,226.4499969482422,227.75,215.60000610351562,216.0,9399
2023-06-28,234.4499969482422,237.85000610351562,225.25,225.5,5490
2023-06-29,236.35000610351562,239.6999969482422,233.39999389648438,236.14999389648438,3892
2023-06-30,240.3000030517578,241.8000030517578,236.6999969482422,238.0500030517578,4133
2023-07-03,255.5,260.0,247.9499969482422,249.1999969482422,19158
2023-07-04,254.0500030517578,256.29998779296875,251.6999969482422,253.85000610351562,2743
2023-07-05,261.3500061035156,261.3500061035156,253.0500030517578,254.60000610351562,7241
2023-07-06,254.8000030517578,259.3999938964844,250.89999389648438,259.3999938964844,5606
2023-07-07,250.25,256.45001220703125,250.0,250.6999969482422,5523
2023-07-10,244.3000030517578,252.14999389648438,241.10000610351562,249.25,7757
2023-07-11,245.10000610351562,247.10000610351562,243.10000610351562,243.5,4162
2023-07-12,245.0,250.39999389648438,244.3000030517578,245.75,2922
2023-07-13,248.1999969482422,248.1999969482422,242.0,245.0,2874
2023-07-14,249.0,253.0,245.8000030517578,247.0500030517578,3119
2023-07-17,257.6000061035156,259.8999938964844,252.39999389648438,252.6999969482422,8213
2023-07-18,261.6499938964844,262.1000061035156,255.0,258.8999938964844,5573
2023-07-19,260.54998779296875,267.1499938964844,258.79998779296875,261.45001220703125,12948
2023-07-20,236.4499969482422,253.89999389648438,235.0,249.60000610351562,16525
2023-07-21,233.8000030517578,241.5,230.5,235.3000030517578,10074
2023-07-24,243.0,243.8000030517578,225.3000030517578,231.9499969482422,10370
2023-07-25,240.10000610351562,247.60000610351562,240.10000610351562,242.64999389648438,5657
2023-07-26,238.10000610351562,241.35000610351562,237.10000610351562,239.9499969482422,4478
2023-07-27,233.0,243.75,233.0,239.10000610351562,5534
2023-07-28,240.89999389648438,242.0,233.5500030517578,233.5500030517578,6865
2023-07-31,242.5,243.85000610351562,240.0,242.89999389648438,4421
2023-08-01,238.0,243.6999969482422,237.60000610351562,243.0,2087
2023-08-02,231.6999969482422,236.64999389648438,229.0,234.10000610351562,3682
2023-08-03,237.5,237.5,230.0,233.9499969482422,4181
2023-08-04,230.5,240.39999389648438,230.5,238.89999389648438,2887
2023-08-07,228.3000030517578,234.5500030517578,220.75,230.10000610351562,7040
2023-08-08,227.75,228.1999969482422,225.0,227.10000610351562,3507
2023-08-09,221.0500030517578,229.5500030517578,221.0500030517578,227.0500030517578,5004
