Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
01.05.2023;1.618.300.018.310.540;16.327.999.877.929.600;1.588.300.018.310.540;1.631.699.981.689.450;109015000
02.05.2023;16.030.999.755.859.300;16.549.000.549.316.400;15.892.999.267.578.100;1.618.800.048.828.120;128259700
03.05.2023;16.061.000.061.035.100;165.0;15.991.000.366.210.900;16.000.999.450.683.500;119728000
04.05.2023;1.611.999.969.482.420;1.629.499.969.482.420;15.964.999.389.648.400;1.627.100.067.138.670;95108500
05.05.2023;17.005.999.755.859.300;1.707.899.932.861.320;16.350.999.450.683.500;16.397.000.122.070.300;107440900
08.05.2023;1.717.899.932.861.320;1.738.000.030.517.570;16.919.000.244.140.600;17.372.000.122.070.300;112249400
09.05.2023;16.914.999.389.648.400;16.982.000.732.421.800;16.655.999.755.859.300;1.689.499.969.482.420;88965000
10.05.2023;1.685.399.932.861.320;17.442.999.267.578.100;16.667.999.267.578.100;1.725.500.030.517.570;119840700
11.05.2023;1.720.800.018.310.540;17.357.000.732.421.800;1.667.899.932.861.320;1.686.999.969.482.420;103889900
12.05.2023;16.797.999.572.753.900;1.773.800.048.828.120;16.722.999.572.753.900;17.607.000.732.421.800;157577100
15.05.2023;16.635.000.610.351.500;16.975.999.450.683.500;1.645.500.030.517.570;16.766.000.366.210.900;105592500
16.05.2023;16.652.000.427.246.000;16.952.000.427.246.000;16.435.000.610.351.500;16.564.999.389.648.400;98288800
17.05.2023;17.386.000.061.035.100;174.5;16.719.000.244.140.600;16.841.000.366.210.900;125473600
18.05.2023;17.688.999.938.964.800;17.705.999.755.859.300;1.724.499.969.482.420;17.422.000.122.070.300;109520300
19.05.2023;18.013.999.938.964.800;1.819.499.969.482.420;17.630.999.755.859.300;1.771.699.981.689.450;136024200
22.05.2023;1.888.699.951.171.870;18.932.000.732.421.800;18.011.000.061.035.100;1.806.999.969.482.420;132001400
23.05.2023;18.577.000.427.246.000;1.929.600.067.138.670;18.525.999.450.683.500;1.861.999.969.482.420;156952100
24.05.2023;18.289.999.389.648.400;18.422.000.122.070.300;17.822.000.122.070.300;18.222.999.572.753.900;137605100
25.05.2023;18.447.000.122.070.300;18.677.999.877.929.600;1.805.800.018.310.540;1.865.399.932.861.320;96870700
26.05.2023;1.931.699.981.689.450;19.860.000.610.351.500;18.452.999.877.929.600;1.846.199.951.171.870;162061500
30.05.2023;20.116.000.366.210.900;20.447.999.572.753.900;19.752.999.877.929.600;20.010.000.610.351.500;128818700
31.05.2023;20.392.999.267.578.100;2.039.499.969.482.420;1.951.199.951.171.870;19.977.999.877.929.600;150711700
01.06.2023;20.752.000.427.246.000;2.098.000.030.517.570;1.993.699.951.171.870;20.258.999.633.789.000;148029900
02.06.2023;21.397.000.122.070.300;217.25;209.75;21.014.999.389.648.400;164129000
05.06.2023;21.761.000.061.035.100;2.212.899.932.861.320;21.452.000.427.246.000;2.178.000.030.517.570;151143100
06.06.2023;22.130.999.755.859.300;22.191.000.366.210.900;21.252.999.877.929.600;21.613.999.938.964.800;146911600
07.06.2023;22.457.000.732.421.800;2.308.300.018.310.540;2.231.999.969.482.420;228.0;185710800
08.06.2023;23.486.000.061.035.100;23.522.999.572.753.900;22.300.999.450.683.500;22.422.000.122.070.300;164489700
09.06.2023;24.439.999.389.648.400;2.524.199.981.689.450;24.202.000.427.246.000;24.907.000.732.421.800;199882300
12.06.2023;2.498.300.018.310.540;25.097.000.122.070.300;24.458.999.633.789.000;24.794.000.244.140.600;150337900
13.06.2023;2.587.099.914.550.780;25.967.999.267.578.100;25.133.999.633.789.000;25.350.999.450.683.500;162384300
14.06.2023;2.567.900.085.449.210;26.157.000.732.421.800;250.5;2.601.700.134.277.340;170575500
15.06.2023;25.589.999.389.648.400;25.895.001.220.703.100;2.472.899.932.861.320;24.839.999.389.648.400;160171200
16.06.2023;2.605.400.085.449.210;2.636.000.061.035.150;2.572.099.914.550.780;2.589.200.134.277.340;167563700
20.06.2023;27.445.001.220.703.100;274.75;2.611.199.951.171.870;261.5;165611200
21.06.2023;2.594.599.914.550.780;276.989.990.234.375;2.577.799.987.792.960;2.751.300.048.828.120;211797100
22.06.2023;2.646.099.853.515.620;265.0;248.25;25.077.000.427.246.000;166875900
23.06.2023;2.566.000.061.035.150;26.245.001.220.703.100;2.528.000.030.517.570;2.592.900.085.449.210;176584100
26.06.2023;2.410.500.030.517.570;2.583.699.951.171.870;2.406.999.969.482.420;25.007.000.732.421.800;179990600
27.06.2023;2.502.100.067.138.670;25.038.999.938.964.800;24.085.000.610.351.500;24.324.000.549.316.400;164968200
28.06.2023;256.239.990.234.375;2.598.800.048.828.120;24.888.999.938.964.800;2.496.999.969.482.420;159770800
29.06.2023;257.5;260.739.990.234.375;25.361.000.061.035.100;2.580.299.987.792.960;131283400
30.06.2023;2.617.699.890.136.710;26.445.001.220.703.100;2.598.900.146.484.370;2.606.000.061.035.150;112267600
03.07.2023;27.982.000.732.421.800;284.25;2.751.099.853.515.620;276.489.990.234.375;119685900
05.07.2023;2.824.800.109.863.280;2.838.500.061.035.150;2.776.000.061.035.150;27.882.000.732.421.800;131530900
06.07.2023;2.765.400.085.449.210;2.799.700.012.207.030;2.728.800.048.828.120;2.780.899.963.378.900;120332100
07.07.2023;27.442.999.267.578.100;2.807.799.987.792.960;2.737.699.890.136.710;27.842.999.267.578.100;113602000
10.07.2023;2.696.099.853.515.620;2.775.199.890.136.710;2.651.000.061.035.150;2.764.700.012.207.030;119425400
11.07.2023;2.697.900.085.449.210;2.708.999.938.964.840;2.663.699.951.171.870;2.686.499.938.964.840;91972400
12.07.2023;271.989.990.234.375;2.765.199.890.136.710;2.714.599.914.550.780;2.763.299.865.722.650;95672100
13.07.2023;2.778.999.938.964.840;27.945.001.220.703.100;2.706.000.061.035.150;2.745.899.963.378.900;112681500
14.07.2023;2.813.800.048.828.120;28.529.998.779.296.800;27.630.999.755.859.300;277.010.009.765.625;119771100
17.07.2023;2.903.800.048.828.120;2.922.300.109.863.280;28.357.000.732.421.800;2.866.300.048.828.120;131569600
18.07.2023;2.933.399.963.378.900;295.260.009.765.625;286.010.009.765.625;2.901.499.938.964.840;112434700
19.07.2023;291.260.009.765.625;2.992.900.085.449.210;2.895.199.890.136.710;2.960.400.085.449.210;142355400
20.07.2023;2.628.999.938.964.840;28.092.999.267.578.100;26.120.001.220.703.100;27.955.999.755.859.300;175158300
21.07.2023;2.600.199.890.136.710;268.0;2.558.000.030.517.570;268.0;161050100
24.07.2023;26.905.999.755.859.300;2.698.500.061.035.150;2.541.199.951.171.870;25.585.000.610.351.500;136508500
25.07.2023;2.652.799.987.792.960;2.728.999.938.964.840;265.0;2.723.800.048.828.120;112757300
26.07.2023;2.643.500.061.035.150;2.680.400.085.449.210;261.75;263.25;95856200
27.07.2023;2.557.100.067.138.670;2.691.300.048.828.120;2.553.000.030.517.570;26.830.999.755.859.300;103697300
28.07.2023;26.644.000.244.140.600;267.25;2.582.300.109.863.280;2.598.599.853.515.620;111446000
31.07.2023;26.742.999.267.578.100;2.690.799.865.722.650;2.637.799.987.792.960;2.674.800.109.863.280;84582200
01.08.2023;26.107.000.732.421.800;2.664.700.012.207.030;260.25;266.260.009.765.625;83166000
02.08.2023;25.411.000.061.035.100;2.595.199.890.136.710;25.049.000.549.316.400;25.557.000.732.421.800;101752900
03.08.2023;25.932.000.732.421.800;260.489.990.234.375;252.0;2.520.399.932.861.320;97569100
04.08.2023;25.386.000.061.035.100;2.647.699.890.136.710;25.311.000.061.035.100;2.609.700.012.207.030;99242600
07.08.2023;2.514.499.969.482.420;25.364.999.389.648.400;24.275.999.450.683.500;2.514.499.969.482.420;111097900
08.08.2023;2.496.999.969.482.420;2.509.199.981.689.450;24.500.999.450.683.500;2.474.499.969.482.420;96642200
09.08.2023;24.219.000.244.140.600;25.110.000.610.351.500;24.189.999.389.648.400;2.508.699.951.171.870;101596300
10.08.2023;24.533.999.633.789.000;2.518.000.030.517.570;243.0;24.539.999.389.648.400;109498600
11.08.2023;24.264.999.389.648.400;2.437.899.932.861.320;23.802.000.427.246.000;24.177.000.427.246.000;98866600
14.08.2023;23.975.999.450.683.500;24.066.000.366.210.900;233.75;2.356.999.969.482.420;98595300
15.08.2023;2.329.600.067.138.670;240.5;23.261.000.061.035.100;23.872.999.572.753.900;88197600
16.08.2023;22.560.000.610.351.500;23.397.000.122.070.300;2.253.800.048.828.120;22.802.000.427.246.000;112484500
17.08.2023;21.922.000.122.070.300;22.674.000.549.316.400;2.188.300.018.310.540;22.605.999.755.859.300;120718400
18.08.2023;21.549.000.549.316.400;2.175.800.018.310.540;21.236.000.061.035.100;2.141.199.951.171.870;135813700
21.08.2023;23.127.999.877.929.600;2.321.300.048.828.120;2.205.800.018.310.540;2.215.500.030.517.570;135702700
22.08.2023;23.319.000.244.140.600;24.082.000.732.421.800;2.295.500.030.517.570;240.25;130597900
23.08.2023;23.686.000.061.035.100;23.897.999.572.753.900;2.292.899.932.861.320;22.933.999.633.789.000;101077600
24.08.2023;2.300.399.932.861.320;2.389.199.981.689.450;22.817.999.267.578.100;23.866.000.366.210.900;99777400
25.08.2023;23.858.999.633.789.000;239.0;23.035.000.610.351.500;23.130.999.755.859.300;106612200
28.08.2023;23.882.000.732.421.800;2.443.800.048.828.120;23.535.000.610.351.500;2.425.800.018.310.540;107673700
29.08.2023;25.717.999.267.578.100;2.574.800.109.863.280;23.777.000.427.246.000;2.385.800.018.310.540;134047600
30.08.2023;2.568.999.938.964.840;260.510.009.765.625;25.058.999.633.789.000;2.541.999.969.482.420;121988400
31.08.2023;2.580.799.865.722.650;26.117.999.267.578.100;2.550.500.030.517.570;25.597.999.572.753.900;108861700
01.09.2023;24.500.999.450.683.500;2.590.799.865.722.650;24.200.999.450.683.500;257.260.009.765.625;132272500
05.09.2023;256.489.990.234.375;258.0;24.486.000.061.035.100;245.0;129469600
06.09.2023;2.519.199.981.689.450;25.538.999.938.964.800;24.505.999.755.859.300;25.513.999.938.964.800;116959800
07.09.2023;25.149.000.549.316.400;25.280.999.755.859.300;24.327.000.427.246.000;24.507.000.732.421.800;115312900
08.09.2023;248.5;2.565.199.890.136.710;2.466.699.981.689.450;25.122.000.122.070.300;118367700
11.09.2023;2.735.799.865.722.650;2.748.500.061.035.150;2.606.099.853.515.620;2.642.699.890.136.710;174667900
12.09.2023;2.674.800.109.863.280;2.783.900.146.484.370;2.666.000.061.035.150;270.760.009.765.625;135999900
13.09.2023;27.129.998.779.296.800;2.749.800.109.863.280;2.681.000.061.035.150;27.007.000.732.421.800;111673700
14.09.2023;2.760.400.085.449.210;2.767.099.914.550.780;2.704.200.134.277.340;27.132.000.732.421.800;107709800
15.09.2023;2.743.900.146.484.370;2.789.800.109.863.280;271.0;27.754.998.779.296.800;133422800
18.09.2023;2.652.799.987.792.960;27.144.000.244.140.600;263.760.009.765.625;2.711.600.036.621.090;101543300
19.09.2023;266.5;2.678.500.061.035.150;26.120.001.220.703.100;2.643.500.061.035.150;103704000
20.09.2023;2.625.899.963.378.900;27.392.999.267.578.100;2.624.599.914.550.780;2.670.400.085.449.210;122514600
21.09.2023;2.556.999.969.482.420;2.608.599.853.515.620;2.542.100.067.138.670;2.578.500.061.035.150;119531000
22.09.2023;2.448.800.048.828.120;2.577.900.085.449.210;24.447.999.572.753.900;2.573.999.938.964.840;127524100
25.09.2023;24.699.000.549.316.400;24.710.000.610.351.500;23.830.999.755.859.300;2.433.800.048.828.120;104636600
26.09.2023;2.441.199.951.171.870;2.495.500.030.517.570;24.166.000.366.210.900;24.297.999.572.753.900;101993600
27.09.2023;240.5;2.453.300.018.310.540;2.345.800.018.310.540;24.425.999.450.683.500;136597200
28.09.2023;2.463.800.048.828.120;2.475.500.030.517.570;23.864.999.389.648.400;24.002.000.427.246.000;117058900
29.09.2023;25.022.000.122.070.300;25.477.000.427.246.000;24.635.000.610.351.500;250.0;128346200
02.10.2023;25.160.000.610.351.500;25.427.999.877.929.600;2.426.199.951.171.870;24.480.999.755.859.300;123810400
03.10.2023;24.652.999.877.929.600;25.002.000.427.246.000;2.444.499.969.482.420;24.861.000.061.035.100;101985300
04.10.2023;2.611.600.036.621.090;2.618.599.853.515.620;24.760.000.610.351.500;24.813.999.938.964.800;129721600
05.10.2023;26.004.998.779.296.800;2.636.000.061.035.150;256.25;260.0;119159200
06.10.2023;2.605.299.987.792.960;2.616.499.938.964.840;25.064.999.389.648.400;25.397.999.572.753.900;117947000
09.10.2023;2.596.700.134.277.340;2.613.599.853.515.620;2.520.500.030.517.570;25.530.999.755.859.300;101377900
10.10.2023;2.636.199.951.171.870;26.894.000.244.140.600;2.576.499.938.964.840;257.75;122656000
11.10.2023;262.989.990.234.375;2.686.000.061.035.150;2.608.999.938.964.840;26.620.001.220.703.100;103706300
12.10.2023;2.588.699.951.171.870;2.654.100.036.621.090;2.566.300.048.828.120;2.629.200.134.277.340;111508100
13.10.2023;2.511.199.951.171.870;2.596.000.061.035.150;25.022.000.122.070.300;2.588.999.938.964.840;102073800
16.10.2023;2.539.199.981.689.450;25.539.999.389.648.400;24.847.999.572.753.900;2.500.500.030.517.570;88917200
17.10.2023;25.485.000.610.351.500;25.717.999.267.578.100;2.470.800.018.310.540;25.010.000.610.351.500;93562900
18.10.2023;24.267.999.267.578.100;2.546.300.048.828.120;2.420.800.018.310.540;2.526.999.969.482.420;125147800
19.10.2023;22.011.000.061.035.100;23.061.000.061.035.100;21.677.999.877.929.600;2.259.499.969.482.420;170772700
20.10.2023;21.199.000.549.316.400;21.886.000.061.035.100;2.104.199.981.689.450;21.700.999.450.683.500;137734000
23.10.2023;2.120.800.018.310.540;21.697.999.572.753.900;20.250.999.450.683.500;210.0;150683400
24.10.2023;21.652.000.427.246.000;2.220.500.030.517.570;21.411.000.061.035.100;216.5;118231100
25.10.2023;2.124.199.981.689.450;22.010.000.610.351.500;2.121.999.969.482.420;2.158.800.048.828.120;107065100
26.10.2023;20.575.999.450.683.500;2.148.000.030.517.570;2.048.800.048.828.120;21.132.000.732.421.800;115112600
27.10.2023;2.073.000.030.517.570;21.241.000.366.210.900;20.577.000.427.246.000;21.060.000.610.351.500;94881200
30.10.2023;19.736.000.061.035.100;2.108.800.048.828.120;1.946.699.981.689.450;20.927.999.877.929.600;136448200
