,1. open,2. high,3. low,4. close
2025-05-01,0.88220,0.88730,0.88160,0.88540
2025-04-30,0.87800,0.88320,0.87700,0.88230
2025-04-29,0.87530,0.87910,0.87520,0.87780
2025-04-28,0.87970,0.88220,0.87500,0.87520
2025-04-25,0.87780,0.88330,0.87770,0.87960
2025-04-24,0.88270,0.88300,0.87710,0.87790
2025-04-23,0.88000,0.88410,0.87390,0.88290
2025-04-22,0.86830,0.87940,0.86580,0.87940
2025-04-21,0.87660,0.87720,0.86390,0.86840
2025-04-18,0.87930,0.88000,0.87710,0.87750
2025-04-17,0.87700,0.88150,0.87630,0.87920
2025-04-16,0.88590,0.88590,0.87600,0.87710
2025-04-15,0.88010,0.88740,0.87880,0.88610
2025-04-14,0.88290,0.88490,0.87530,0.88010
2025-04-11,0.89250,0.89270,0.87160,0.88000
2025-04-10,0.91270,0.91360,0.88940,0.89250
2025-04-09,0.91240,0.91540,0.90120,0.91290
2025-04-08,0.91600,0.91780,0.90960,0.91250
2025-04-07,0.91560,0.91700,0.90510,0.91610
2025-04-04,0.90470,0.91500,0.90010,0.91220
2025-04-03,0.92290,0.92500,0.89780,0.90470
2025-04-02,0.92630,0.92720,0.91620,0.92310
2025-04-01,0.92410,0.92750,0.92310,0.92610
2025-03-31,0.92420,0.92700,0.92160,0.92400
2025-03-28,0.92580,0.92860,0.92190,0.92330
2025-03-27,0.93080,0.93140,0.92400,0.92570
2025-03-26,0.92640,0.93100,0.92550,0.93070
2025-03-25,0.92550,0.92750,0.92310,0.92640
2025-03-24,0.92370,0.92720,0.92080,0.92570
2025-03-21,0.92090,0.92550,0.92060,0.92410
2025-03-20,0.91670,0.92420,0.91570,0.92090
2025-03-19,0.91340,0.92030,0.91310,0.91680
2025-03-18,0.91530,0.91770,0.91260,0.91340
2025-03-17,0.91900,0.91970,0.91490,0.91530
2025-03-14,0.92100,0.92300,0.91630,0.91900
2025-03-13,0.91810,0.92370,0.91740,0.92110
2025-03-12,0.91620,0.91910,0.91470,0.91820
2025-03-11,0.92260,0.92280,0.91320,0.91620
2025-03-10,0.92240,0.92520,0.91950,0.92260
2025-03-07,0.92660,0.92730,0.91830,0.92280
2025-03-06,0.92660,0.92840,0.92140,0.92700
2025-03-05,0.94120,0.94290,0.92600,0.92660
2025-03-04,0.95300,0.95470,0.94070,0.94080
2025-03-03,0.96100,0.96220,0.95220,0.95340
2025-02-28,0.96140,0.96500,0.95940,0.96370
2025-02-27,0.95350,0.96150,0.95280,0.96140
2025-02-26,0.95100,0.95440,0.94990,0.95350
2025-02-25,0.95460,0.95600,0.95040,0.95080
2025-02-24,0.95500,0.95640,0.94960,0.95500
2025-02-21,0.95230,0.95670,0.95170,0.95550
2025-02-20,0.95880,0.95950,0.95180,0.95200
2025-02-19,0.95710,0.96120,0.95560,0.95910
