Topic,Representation
0,"['media', 'news', 'legacy', 'trump', 'people', 'notes', 'kamala', 'platform', 'posts', 'community']"
1,"['government', 'doge', 'money', 'trump', 'spending', 'people', 'federal', 'us', 'billion', 'dollars']"
2,"['vote', 'illegal', 'border', 'election', 'id', 'voter', 'illegals', 'states', 'voting', 'voters']"
3,"['mars', 'spacex', 'launch', 'starship', 'falcon', 'flight', 'rocket', 'earth', 'life', 'orbit']"
4,"['rape', 'children', 'gangs', 'uk', 'mind', 'inquiry', 'grooming', 'girls', 'britain', 'british']"
5,"['tesla', 'model', 'cybertruck', 'car', 'fsd', 'teslas', 'vehicle', 'cars', 'driving', 'selfdriving']"
6,"['starlink', 'internet', 'highspeed', 'satellites', 'available', 'connectivity', 'spacex', 'cell', 'service', 'satellite']"
7,"['grok', 'image', 'ai', 'try', 'xai', 'app', 'voice', 'mode', 'images', 'game']"
8,"['meme', 'wow', 'interesting', 'day', 'memes', 'lol', 'prophecy', 'real', 'accurate', 'time']"
9,"['speech', 'censorship', 'free', 'freedom', 'misinformation', 'censor', 'media', 'government', 'facebook', 'hate']"
10,"['judge', 'judges', 'activist', 'judicial', 'court', 'trump', 'law', 'federal', 'president', 'impeach']"
11,"['ai', 'openai', 'xai', 'neuralink', 'sam', 'human', 'compute', 'models', 'altman', 'team']"
12,"['doge', 'doges', 'team', 'best', 'sulla', 'liberté', 'cheese', 'uncanny', 'another', 'love']"
13,"['de', 'brazil', 'moraes', 'brazilian', 'alexandre', 'censorship', 'brazils', 'court', 'supreme', 'speech']"
14,"['south', 'white', 'africa', 'slavery', 'africans', 'genocide', 'whites', 'african', 'black', 'farmers']"
15,"['fertility', 'population', 'birth', 'rate', 'low', 'births', 'rates', 'countries', 'per', 'birthrates']"
16,"['afd', 'germany', 'germanys', 'german', 'scholz', 'berlin', 'economic', 'merz', 'attack', 'vote']"
17,"['fbi', 'eisen', 'whistleblower', 'trump', 'whistleblowers', 'occrp', 'cia', 'nsa', 'laptop', 'agents']"
18,"['media', 'elon', 'speech', 'people', 'free', 'trump', 'twitter', 'musk', 'left', 'right']"
19,"['yes', 'yup', 'sun', 'earth', 'galaxy', 'question', 'meaning', 'yesyes', 'really', 'species']"
20,"['ukraine', 'zelensky', 'war', 'ukrainian', 'trump', 'russia', 'president', 'russian', 'highlights', 'peace']"
21,"['elon', 'tesla', 'video', 'musk', 'water', 'la', 'elonmusk', 'amp', 'great', 'like']"
22,"['trump', 'elon', 'musk', 'president', 'people', 'america', 'vote', 'party', 'right', 'government']"
23,"['dei', 'harvard', 'board', 'diversity', 'racist', 'students', 'true', 'faculty', 'people', 'university']"
24,"['tesla', 'delaware', 'elon', 'spacex', 'government', 'fcc', 'companies', 'musk', 'paid', 'doge']"
25,"['games', 'platform', 'video', 'game', 'advertisers', 'gaming', 'woke', 'brand', 'doubleverify', 'safety']"
26,"['telmudic', 'austen', 'differing', 'saxon', 'crunchwrap', 'confusing', 'statistical', 'notes', 'dang', 'pics']"
27,"['soros', 'george', 'money', 'political', 'politics', 'elon', 'billionaire', 'musk', 'european', 'gates']"
28,"['tesla', 'cybertruck', 'dealerships', 'terrorism', 'domestic', 'explosion', 'terror', 'las', 'vegas', 'owners']"
