,1. open,2. high,3. low,4. close
2025-04-30,0.92410,0.92750,0.86390,0.88230
2025-03-31,0.96100,0.96220,0.91260,0.92400
2025-02-28,0.97720,0.97890,0.94960,0.96370
2025-01-31,0.96630,0.98210,0.94920,0.96500
2024-12-31,0.94570,0.96650,0.94080,0.96560
2024-11-29,0.91870,0.96690,0.91410,0.94510
2024-10-31,0.89780,0.92890,0.89710,0.91860
2024-09-30,0.90490,0.90860,0.89160,0.89790
2024-08-30,0.92340,0.92750,0.89250,0.90470
2024-07-31,0.93090,0.93340,0.91320,0.92330
2024-06-28,0.92140,0.93730,0.91590,0.93320
2024-05-31,0.93720,0.93870,0.91770,0.92130
2024-04-30,0.92670,0.94300,0.91850,0.93710
2024-03-29,0.92520,0.92840,0.91080,0.92620
2024-02-29,0.92420,0.93470,0.91740,0.92520
2024-01-31,0.90450,0.92610,0.90450,0.92420
2023-12-29,0.91820,0.93190,0.89760,0.90580
2023-11-30,0.94500,0.95040,0.90750,0.91820
2023-10-31,0.94580,0.95670,0.93510,0.94520
2023-09-29,0.92200,0.95320,0.91880,0.94560
2023-08-31,0.90900,0.92840,0.90400,0.92210
2023-07-31,0.91640,0.92280,0.88670,0.90900
2023-06-30,0.93530,0.93770,0.90800,0.91640
2023-05-31,0.90730,0.94000,0.90130,0.93540
